V,t
-65.0,0.0
-64.99999197404844,0.025
-64.99998407315799,0.05
-64.99997628840215,0.07500000000000001
-64.99996861412708,0.1
-64.99996104472753,0.125
-64.9999535746468,0.15000000000000002
-64.99994619837683,0.17500000000000002
-64.99993891045816,0.2
-64.99993170547992,0.225
-64.99992457807983,0.25
-64.99991752294422,0.275
-64.99990564907078,0.30000000000000004
-64.99988470559556,0.325
-64.99985562536129,0.35000000000000003
-64.99981931176077,0.375
-64.99977663873683,0.4
-64.99972845078236,0.42500000000000004
-64.99967556294025,0.45
-64.9996187608035,0.47500000000000003
-64.9995588005151,0.5
-64.99949640876811,0.525
-64.99943228280563,0.55
-64.99936709042078,0.5750000000000001
-64.99930146995676,0.6000000000000001
-64.99923603030679,0.625
-64.99917135091414,0.65
-64.99910798177213,0.675
-64.99904644342409,0.7000000000000001
-64.99898722696346,0.7250000000000001
-64.99893079403367,0.75
-64.99887757682819,0.775
-64.99882797809057,0.8
-64.99878237111437,0.8250000000000001
-64.99874109974323,0.8500000000000001
-64.9987044783708,0.875
-64.99867279194076,0.9
-64.9986462959469,0.925
-64.99862521643298,0.9500000000000001
-64.99860974999287,0.9750000000000001
-64.9986000637704,1.0
-64.99859629545954,1.0250000000000001
-64.99859855330422,1.05
-64.99860691609848,1.075
-64.99862143318636,1.1
-64.99864212446194,1.125
-64.99866898036939,1.1500000000000001
-64.99870196190287,1.175
-64.99874100060661,1.2000000000000002
-64.9987859985749,1.225
-64.99883682845204,1.25
-64.99889333343239,1.2750000000000001
-64.99895532726036,1.3
-64.99902259423037,1.3250000000000002
-64.99909488918692,1.35
-64.99917193752457,1.375
-64.99925343518784,1.4000000000000001
-64.9993390486714,1.425
-64.99942841501988,1.4500000000000002
-64.999521141828,1.475
-64.99961680724051,1.5
-64.9997149599522,1.5250000000000001
-64.99981511920791,1.55
-64.9999167748025,1.5750000000000002
-65.00001938708093,1.6
-65.00012238693813,1.625
-65.00022517581914,1.6500000000000001
-65.000327125719,1.675
-65.0004275791828,1.7000000000000002
-65.0005258493057,1.725
-65.00062121973286,1.75
-65.00071294465954,1.7750000000000001
-65.00080024883098,1.8
-65.00088232754251,1.8250000000000002
-65.0009583466395,1.85
-65.00102744251733,1.875
-65.00108872212145,1.9000000000000001
-65.00114126294737,1.925
-65.0011841130406,1.9500000000000002
-65.00121629099672,1.975
-65.00123678596135,2.0
-65.00124455763017,2.025
-65.00123853624886,2.0500000000000003
-65.0012176226132,2.075
-65.00118068806894,2.1
-65.00112657451197,2.125
-65.00105409438814,2.15
-65.00096203069337,2.1750000000000003
-65.00084913697364,2.2
-65.0007141077487,2.225
-65.00055623678688,2.25
-65.00038251177104,2.275
-65.00020149877565,2.3000000000000003
-65.000020858327,2.325
-64.99984734540318,2.35
-64.99968680943402,2.375
-64.99954419430124,2.4000000000000004
-64.99942353833826,2.4250000000000003
-64.99932797433036,2.45
-64.99925972951459,2.475
